State,X,Y
Andhra Pradesh,-55,-103
Arunachal Pradesh,166,112
Assam,133,67
Bihar,34,60
Chhattisgarh,-6,1
Goa,-121,-96
Gujarat,-148,25
Haryana,-87,118
Himachal Pradesh,-72,151
Jharkhand,33,33
Karnataka,-94,-106
Kerala,-85,-165
Madhya Pradesh,-55,20
Maharashtra,-94,-24
Manipur,146,38
Meghalaya,120,64
Mizoram,147,23
Nagaland,166,79
Odisha,38,-17
Punjab,-96,139
Rajasthan,-120,81
Sikkim,82,88
Tamil Nadu,-55,-152
Telangana,-47,-61
Tripura,127,40
Uttar Pradesh,-15,80
Uttarakhand,-40,132
West Bengal,74,37
J&K,-84,203
